,date,month,year,bu,Conformance CALC,System Outage (hrs),Unplanned out % CALC,Shrinkage % CALC,aht,Attrition %
303,2019-02-13,February,2019,RAM,0.93832926,0.0,2%,31%,935.5087358684481,0.018867925
304,2019-02-13,February,2019,RCS PHONES,#DIV/0!,0.0,8%,39%,,0.076923077
305,2019-02-13,February,2019,RIS,0.963419805,0.0,9%,24%,566.0,0.018518519
306,2019-02-13,February,2019,SCS,#DIV/0!,0.0,5%,36%,,
307,2019-02-13,February,2019,WISE,0.977101631,0.0,7%,28%,533.5927774515561,0.00729927
308,2019-02-14,February,2019,Client Transactions,0.890748499,0.0,7%,40%,351.93628912071534,0.041666667
309,2019-02-14,February,2019,Participant Transactions,0.849274915,0.0,4%,33%,461.13992248062016,0.040816327
310,2019-02-14,February,2019,RAM,0.96083037,0.0,4%,31%,987.3772180881512,0.018867925
311,2019-02-14,February,2019,RCS PHONES,#DIV/0!,0.0,5%,39%,,0.076923077
312,2019-02-14,February,2019,RIS,0.938506721,0.0,4%,29%,562.0,0.018518519
313,2019-02-14,February,2019,SCS,#DIV/0!,0.0,5%,36%,,
314,2019-02-14,February,2019,WISE,0.96076538,0.0,10%,31%,532.160227664712,0.00729927
315,2019-02-15,February,2019,Client Transactions,0.814802702,0.0,4%,36%,290.14442355889724,0.041666667
316,2019-02-15,February,2019,Participant Transactions,0.829658346,0.0,6%,24%,448.2844190732035,0.040816327
317,2019-02-15,February,2019,RAM,0.814345774,0.0,5%,36%,906.44892613934,0.018867925
318,2019-02-15,February,2019,RCS PHONES,#DIV/0!,0.0,9%,44%,,0.076923077
319,2019-02-15,February,2019,RIS,0.980393006,0.0,6%,32%,652.0,0.018518519
320,2019-02-15,February,2019,SCS,#DIV/0!,0.0,7%,36%,,
321,2019-02-15,February,2019,WISE,0.941540677,0.0,12%,35%,535.2517899761336,0.00729927
336,2019-02-18,February,2019,Client Transactions,0.857973422,0.0,0%,7%,155.07155963302753,0.041666667
337,2019-02-18,February,2019,Participant Transactions,0.929524904,0.0,0%,6%,306.8994229183842,0.040816327
338,2019-02-18,February,2019,RAM,0.974439639,0.0,8%,14%,768.3420074349442,0.018867925
339,2019-02-18,February,2019,RCS PHONES,#DIV/0!,0.0,#DIV/0!,#DIV/0!,,0.076923077
340,2019-02-18,February,2019,RIS,#DIV/0!,0.0,#DIV/0!,#DIV/0!,,0.018518519
341,2019-02-18,February,2019,SCS,#DIV/0!,0.0,#DIV/0!,#DIV/0!,,
342,2019-02-18,February,2019,WISE,0.906697166,0.0,9%,23%,543.0553485896753,0.00729927
343,2019-02-19,February,2019,Client Transactions,0.877953263,0.0,4%,23%,376.41201436500165,0.041666667
344,2019-02-19,February,2019,Participant Transactions,0.883260815,0.0,8%,30%,470.9778861788618,0.040816327
345,2019-02-19,February,2019,RAM,0.908934559,0.0,8%,23%,842.8127133105802,0.018867925
346,2019-02-19,February,2019,RCS PHONES,#DIV/0!,0.0,9%,55%,,0.076923077
347,2019-02-19,February,2019,RIS,0.935266697,0.0,12%,27%,648.0,0.018518519
348,2019-02-19,February,2019,SCS,#DIV/0!,0.0,10%,30%,,
349,2019-02-19,February,2019,WISE,0.904673669,0.25,9%,28%,559.1995263469508,0.00729927
350,2019-02-20,February,2019,Client Transactions,0.778818303,0.0,2%,18%,393.6341734618236,0.041666667
351,2019-02-20,February,2019,Participant Transactions,0.915626708,0.0,8%,36%,551.2194793536804,0.040816327
352,2019-02-20,February,2019,RAM,0.922599134,0.0,14%,32%,923.3532338308457,0.018867925
353,2019-02-20,February,2019,RCS PHONES,#DIV/0!,0.0,7%,52%,,0.076923077
354,2019-02-20,February,2019,RIS,0.933403751,0.0,26%,38%,669.0,0.018518519
355,2019-02-20,February,2019,SCS,#DIV/0!,0.0,19%,41%,,
356,2019-02-20,February,2019,WISE,0.917492298,0.916666667,16%,32%,570.7685476157945,0.00729927
357,2019-02-21,February,2019,Client Transactions,0.744700908,0.0,9%,31%,313.09730538922156,0.041666667
358,2019-02-21,February,2019,Participant Transactions,0.760177469,0.0,5%,31%,465.1312594840668,0.040816327
359,2019-02-21,February,2019,RAM,0.966433065,0.0,7%,27%,825.1963095848283,0.018867925
360,2019-02-21,February,2019,RCS PHONES,#DIV/0!,0.0,5%,57%,,0.076923077
361,2019-02-21,February,2019,RIS,0.953827561,0.0,7%,30%,615.0,0.018518519
362,2019-02-21,February,2019,SCS,#DIV/0!,0.0,9%,34%,,
363,2019-02-21,February,2019,WISE,0.916478435,0.833333333,6%,26%,530.8237553552962,0.00729927
364,2019-02-22,February,2019,Client Transactions,0.834100998,0.0,5%,24%,324.12517146776406,0.041666667
365,2019-02-22,February,2019,Participant Transactions,0.874378947,0.0,13%,34%,456.29462989840346,0.040816327
366,2019-02-22,February,2019,RAM,0.938999694,0.0,8%,36%,960.1106911447084,0.018867925
367,2019-02-22,February,2019,RCS PHONES,#DIV/0!,0.0,9%,63%,,0.076923077
368,2019-02-22,February,2019,RIS,0.971907161,0.0,13%,37%,605.0,0.018518519
369,2019-02-22,February,2019,SCS,#DIV/0!,0.0,10%,38%,,
370,2019-02-22,February,2019,WISE,0.901469602,0.0,13%,35%,545.6153735838233,0.00729927
385,2019-02-25,February,2019,Client Transactions,0.789827724,0.0,6%,26%,291.3519675202998,0.041666667
386,2019-02-25,February,2019,Participant Transactions,0.833618545,0.0,9%,22%,477.36572280178837,0.040816327
387,2019-02-25,February,2019,RAM,0.968596221,0.0,11%,32%,922.9880087209302,0.018867925
388,2019-02-25,February,2019,RCS PHONES,#DIV/0!,0.0,8%,54%,,0.076923077
389,2019-02-25,February,2019,RIS,0.955562335,0.0,12%,25%,687.0,0.018518519
390,2019-02-25,February,2019,SCS,#DIV/0!,0.0,13%,32%,,
391,2019-02-25,February,2019,WISE,0.906278952,1.75,10%,25%,555.9276499122717,0.00729927
