ACTIVITY DATE,DIVISION,BUSINESS UNIT,BUSINESS LINE,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST,
8/2/2016,College Savings,College Savings,CS John Hancock,351208,,731,704,
8/2/2016,College Savings,College Savings,CS Maryland,373884,,616,599,
8/2/2016,College Savings,College Savings,CS National,108109,,226,220,
8/2/2016,II Services and Operations,RIS,RIS,1700758,,2769,3117,
8/2/2016,II Services and Operations,RCS PHONES,RCS PHONES,301541,,575,566,
8/2/2016,II Services and Operations,SCS,BRO,284283,,430,379,
8/2/2016,II Services and Operations,SCS,PSG,499012,,753,779,
8/3/2016,WISE,WISE,WISE Contractual,3182629,,5516,6018,
8/3/2016,College Savings,College Savings,CS Alaska,40751,,71,64,
8/3/2016,College Savings,College Savings,CS John Hancock,292370,,643,642,
8/3/2016,College Savings,College Savings,CS Maryland,343937,,510,495,
8/3/2016,College Savings,College Savings,CS National,117645,,220,216,
8/3/2016,II Services and Operations,RIS,RIS,1604907,,2691,2844,
8/3/2016,II Services and Operations,RCS PHONES,RCS PHONES,309753,,570,528,
8/3/2016,II Services and Operations,SCS,BRO,203732,,370,358,
8/3/2016,II Services and Operations,SCS,PSG,468139,,713,722,
8/4/2016,WISE,WISE,WISE Contractual,3004737,,5192,5763,
8/4/2016,College Savings,College Savings,CS Alaska,32872,,50,59,
8/4/2016,College Savings,College Savings,CS John Hancock,273998,,587,610,
8/4/2016,College Savings,College Savings,CS Maryland,299961,,480,508,
8/4/2016,College Savings,College Savings,CS National,110948,,205,165,
8/4/2016,II Services and Operations,RIS,RIS,1496514,,2528,2523,
8/4/2016,II Services and Operations,RCS PHONES,RCS PHONES,283244,,508,491,
8/4/2016,II Services and Operations,SCS,BRO,228600,,401,350,
8/4/2016,II Services and Operations,SCS,PSG,411176,,615,698,
8/5/2016,WISE,WISE,WISE Contractual,2912527,,5077,5697,
8/5/2016,College Savings,College Savings,CS Alaska,38700,,70,47,
8/5/2016,College Savings,College Savings,CS John Hancock,254887,,516,497,
8/5/2016,College Savings,College Savings,CS Maryland,284648,,501,505,
8/5/2016,College Savings,College Savings,CS National,97173,,207,188,
8/5/2016,II Services and Operations,RIS,RIS,1569865,,2739,2561,
8/5/2016,II Services and Operations,RCS PHONES,RCS PHONES,275490,,502,508,
8/5/2016,II Services and Operations,SCS,BRO,296812,,454,379,
8/5/2016,II Services and Operations,SCS,PSG,529274,,895,733,
8/6/2016,WISE,WISE,WISE Contractual,0,,0,0,
8/6/2016,College Savings,College Savings,CS Alaska,0,,0,0,
8/6/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
8/6/2016,College Savings,College Savings,CS Maryland,0,,0,0,
8/6/2016,College Savings,College Savings,CS National,0,,0,0,
8/6/2016,II Services and Operations,RIS,RIS,286531,,614,604,
8/6/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
8/6/2016,II Services and Operations,SCS,BRO,0,,0,0,
8/6/2016,II Services and Operations,SCS,PSG,0,,0,0,
8/7/2016,WISE,WISE,WISE Contractual,0,,0,0,
8/7/2016,College Savings,College Savings,CS Alaska,0,,0,0,
8/7/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
8/7/2016,College Savings,College Savings,CS Maryland,0,,0,0,
8/7/2016,College Savings,College Savings,CS National,0,,0,0,
8/7/2016,II Services and Operations,RIS,RIS,0,,0,0,
8/7/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
8/7/2016,II Services and Operations,SCS,BRO,0,,0,0,
8/7/2016,II Services and Operations,SCS,PSG,0,,0,0,
8/8/2016,WISE,WISE,WISE Contractual,4128206,,7194,7703,
8/8/2016,College Savings,College Savings,CS Alaska,56683,,117,86,
8/8/2016,College Savings,College Savings,CS John Hancock,383929,,815,839,
8/8/2016,College Savings,College Savings,CS Maryland,440149,,703,760,
8/8/2016,College Savings,College Savings,CS National,170571,,306,291,
8/8/2016,II Services and Operations,RIS,RIS,2110880,,3548,3267,
8/8/2016,II Services and Operations,RCS PHONES,RCS PHONES,326326,,658,755,
8/8/2016,II Services and Operations,SCS,BRO,377255,,615,446,
8/8/2016,II Services and Operations,SCS,PSG,677571,,1089,1021,
8/9/2016,WISE,WISE,WISE Contractual,3150430,,5547,6116,
8/9/2016,College Savings,College Savings,CS Alaska,40211,,64,70,
8/9/2016,College Savings,College Savings,CS John Hancock,309444,,665,684,
8/9/2016,College Savings,College Savings,CS Maryland,350616,,502,620,
8/9/2016,College Savings,College Savings,CS National,114572,,226,237,
8/9/2016,II Services and Operations,RIS,RIS,1682294,,2858,2686,
8/9/2016,II Services and Operations,RCS PHONES,RCS PHONES,298398,,543,614,
8/9/2016,II Services and Operations,SCS,BRO,306830,,506,364,
8/9/2016,II Services and Operations,SCS,PSG,545787,,820,767,
8/10/2016,WISE,WISE,WISE Contractual,3025071,,5472,5648,
8/10/2016,College Savings,College Savings,CS Alaska,49780,,82,59,
8/10/2016,College Savings,College Savings,CS John Hancock,254334,,564,570,
8/10/2016,College Savings,College Savings,CS Maryland,301897,,479,516,
8/10/2016,College Savings,College Savings,CS National,103515,,196,197,
8/10/2016,II Services and Operations,RIS,RIS,1448928,,2559,2550,
8/10/2016,II Services and Operations,RCS PHONES,RCS PHONES,324430,,517,572,
8/10/2016,II Services and Operations,SCS,BRO,226557,,389,342,
8/10/2016,II Services and Operations,SCS,PSG,476332,,738,721,
8/11/2016,WISE,WISE,WISE Contractual,2785788,,5091,5406,
8/11/2016,College Savings,College Savings,CS Alaska,31660,,57,53,
8/11/2016,College Savings,College Savings,CS John Hancock,253559,,564,517,
8/11/2016,College Savings,College Savings,CS Maryland,303907,,473,468,
8/11/2016,College Savings,College Savings,CS National,87554,,171,179,
8/11/2016,II Services and Operations,RIS,RIS,1512440,,2573,2323,
8/11/2016,II Services and Operations,RCS PHONES,RCS PHONES,285176,,492,544,
8/11/2016,II Services and Operations,SCS,BRO,274374,,439,337,
8/11/2016,II Services and Operations,SCS,PSG,523747,,900,668,
8/12/2016,WISE,WISE,WISE Contractual,2919679,,5223,5324,
8/12/2016,College Savings,College Savings,CS Alaska,33597,,64,53,
8/12/2016,College Savings,College Savings,CS John Hancock,220147,,504,516,
8/12/2016,College Savings,College Savings,CS Maryland,293275,,480,467,
8/12/2016,College Savings,College Savings,CS National,86988,,181,179,
8/12/2016,II Services and Operations,RIS,RIS,1387497,,2473,2359,
8/12/2016,II Services and Operations,RCS PHONES,RCS PHONES,251991,,431,562,
8/12/2016,II Services and Operations,SCS,BRO,264747,,444,364,
8/12/2016,II Services and Operations,SCS,PSG,489327,,766,675,
8/13/2016,WISE,WISE,WISE Contractual,452,,8,0,
8/13/2016,College Savings,College Savings,CS Alaska,0,,0,0,
8/13/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
8/13/2016,College Savings,College Savings,CS Maryland,125,,6,0,
8/13/2016,College Savings,College Savings,CS National,0,,1,0,
8/13/2016,II Services and Operations,RIS,RIS,274580,,593,687,
8/13/2016,II Services and Operations,RCS PHONES,RCS PHONES,26,,1,0,
8/13/2016,II Services and Operations,SCS,BRO,31,,1,0,
8/13/2016,II Services and Operations,SCS,PSG,22,,1,0,
8/14/2016,WISE,WISE,WISE Contractual,0,,0,0,
8/14/2016,College Savings,College Savings,CS Alaska,0,,0,0,
8/14/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
8/14/2016,College Savings,College Savings,CS Maryland,0,,0,0,
8/14/2016,College Savings,College Savings,CS National,0,,0,0,
8/14/2016,II Services and Operations,RIS,RIS,0,,0,0,
8/14/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
8/14/2016,II Services and Operations,SCS,BRO,0,,0,0,
8/14/2016,II Services and Operations,SCS,PSG,0,,0,0,
8/15/2016,WISE,WISE,WISE Contractual,3918944,,6866,7488,
8/15/2016,College Savings,College Savings,CS Alaska,57514,,104,85,
8/15/2016,College Savings,College Savings,CS John Hancock,387786,,801,737,
8/15/2016,College Savings,College Savings,CS Maryland,435730,,713,667,
8/15/2016,College Savings,College Savings,CS National,142815,,288,280,
8/15/2016,II Services and Operations,RIS,RIS,2019600,,3462,3624,
8/15/2016,II Services and Operations,RCS PHONES,RCS PHONES,369331,,652,741,
8/15/2016,II Services and Operations,SCS,BRO,325401,,527,636,
8/15/2016,II Services and Operations,SCS,PSG,768970,,1227,1198,
8/16/2016,WISE,WISE,WISE Contractual,3232817,,5578,6050,
8/16/2016,College Savings,College Savings,CS Alaska,51015,,81,68,
8/16/2016,College Savings,College Savings,CS John Hancock,296896,,656,588,
8/16/2016,College Savings,College Savings,CS Maryland,295512,,488,533,
8/16/2016,College Savings,College Savings,CS National,133361,,234,223,
8/16/2016,II Services and Operations,RIS,RIS,1610824,,2847,2979,
8/16/2016,II Services and Operations,RCS PHONES,RCS PHONES,304155,,547,600,
8/16/2016,II Services and Operations,SCS,BRO,230065,,393,528,
8/16/2016,II Services and Operations,SCS,PSG,592533,,960,927,
8/17/2016,WISE,WISE,WISE Contractual,2996388,,5177,5681,
8/17/2016,College Savings,College Savings,CS Alaska,46399,,78,61,
8/17/2016,College Savings,College Savings,CS John Hancock,229332,,540,530,
8/17/2016,College Savings,College Savings,CS Maryland,257905,,432,480,
8/17/2016,College Savings,College Savings,CS National,90477,,192,201,
8/17/2016,II Services and Operations,RIS,RIS,1495036,,2561,2686,
8/17/2016,II Services and Operations,RCS PHONES,RCS PHONES,343388,,580,572,
8/17/2016,II Services and Operations,SCS,BRO,261169,,406,508,
8/17/2016,II Services and Operations,SCS,PSG,529794,,829,823,
8/18/2016,WISE,WISE,WISE Contractual,2761531,,4717,5588,
8/18/2016,College Savings,College Savings,CS Alaska,34828,,70,55,
8/18/2016,College Savings,College Savings,CS John Hancock,245673,,538,476,
8/18/2016,College Savings,College Savings,CS Maryland,227986,,372,431,
8/18/2016,College Savings,College Savings,CS National,83091,,165,181,
8/18/2016,II Services and Operations,RIS,RIS,1325540,,2356,2615,
8/18/2016,II Services and Operations,RCS PHONES,RCS PHONES,282932,,501,523,
8/18/2016,II Services and Operations,SCS,BRO,210118,,372,514,
8/18/2016,II Services and Operations,SCS,PSG,522291,,796,798,
8/19/2016,WISE,WISE,WISE Contractual,2861903,,4846,5582,
8/19/2016,College Savings,College Savings,CS Alaska,28234,,55,55,
8/19/2016,College Savings,College Savings,CS John Hancock,217938,,457,474,
8/19/2016,College Savings,College Savings,CS Maryland,281172,,442,429,
8/19/2016,College Savings,College Savings,CS National,92434,,171,180,
8/19/2016,II Services and Operations,RIS,RIS,1382828,,2441,2304,
8/19/2016,II Services and Operations,RCS PHONES,RCS PHONES,275989,,487,541,
8/19/2016,II Services and Operations,SCS,BRO,250278,,409,526,
8/19/2016,II Services and Operations,SCS,PSG,448241,,723,826,
8/20/2016,WISE,WISE,WISE Contractual,0,,0,0,
8/20/2016,College Savings,College Savings,CS Alaska,0,,0,0,
8/20/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
8/20/2016,College Savings,College Savings,CS Maryland,0,,0,0,
8/20/2016,College Savings,College Savings,CS National,0,,0,0,
8/20/2016,II Services and Operations,RIS,RIS,275704,,604,571,
8/20/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
8/20/2016,II Services and Operations,SCS,BRO,0,,0,0,
8/20/2016,II Services and Operations,SCS,PSG,0,,0,0,
8/21/2016,WISE,WISE,WISE Contractual,0,,0,0,
8/21/2016,College Savings,College Savings,CS Alaska,0,,0,0,
8/21/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
8/21/2016,College Savings,College Savings,CS Maryland,0,,0,0,
8/21/2016,College Savings,College Savings,CS National,0,,0,0,
8/21/2016,II Services and Operations,RIS,RIS,0,,0,0,
8/21/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
8/21/2016,II Services and Operations,SCS,BRO,0,,0,0,
8/21/2016,II Services and Operations,SCS,PSG,0,,0,0,
8/22/2016,WISE,WISE,WISE Contractual,4103526,,7037,7653,
8/22/2016,College Savings,College Savings,CS Alaska,54225,,97,92,
8/22/2016,College Savings,College Savings,CS John Hancock,315569,,705,771,
8/22/2016,College Savings,College Savings,CS Maryland,343770,,601,678,
8/22/2016,College Savings,College Savings,CS National,132646,,261,280,
8/22/2016,II Services and Operations,RIS,RIS,1670463,,3010,3444,
8/22/2016,II Services and Operations,RCS PHONES,RCS PHONES,372722,,643,682,
8/22/2016,II Services and Operations,SCS,BRO,272982,,451,522,
8/22/2016,II Services and Operations,SCS,PSG,593952,,881,1211,
8/23/2016,WISE,WISE,WISE Contractual,3261541,,5703,6116,
8/23/2016,College Savings,College Savings,CS Alaska,35419,,76,69,
8/23/2016,College Savings,College Savings,CS John Hancock,276736,,613,578,
8/23/2016,College Savings,College Savings,CS Maryland,260336,,434,507,
8/23/2016,College Savings,College Savings,CS National,100582,,196,210,
8/23/2016,II Services and Operations,RIS,RIS,1511813,,2588,2830,
8/23/2016,II Services and Operations,RCS PHONES,RCS PHONES,335798,,529,639,
8/23/2016,II Services and Operations,SCS,BRO,213436,,357,433,
8/23/2016,II Services and Operations,SCS,PSG,490731,,767,935,
8/24/2016,WISE,WISE,WISE Contractual,3115209,,5413,5729,
8/24/2016,College Savings,College Savings,CS Alaska,57568,,97,64,
8/24/2016,College Savings,College Savings,CS John Hancock,243964,,558,532,
8/24/2016,College Savings,College Savings,CS Maryland,227876,,364,466,
8/24/2016,College Savings,College Savings,CS National,70728,,146,193,
8/24/2016,II Services and Operations,RIS,RIS,1360250,,2405,2553,
8/24/2016,II Services and Operations,RCS PHONES,RCS PHONES,313084,,536,547,
8/24/2016,II Services and Operations,SCS,BRO,237574,,388,408,
8/24/2016,II Services and Operations,SCS,PSG,420803,,655,832,
8/25/2016,WISE,WISE,WISE Contractual,3104919,,5409,5418,
8/25/2016,College Savings,College Savings,CS Alaska,53382,,84,58,
8/25/2016,College Savings,College Savings,CS John Hancock,232687,,525,481,
8/25/2016,College Savings,College Savings,CS Maryland,209024,,323,422,
8/25/2016,College Savings,College Savings,CS National,69540,,153,175,
8/25/2016,II Services and Operations,RIS,RIS,1317664,,2246,2484,
8/25/2016,II Services and Operations,RCS PHONES,RCS PHONES,321857,,567,478,
8/25/2016,II Services and Operations,SCS,BRO,221700,,370,412,
8/25/2016,II Services and Operations,SCS,PSG,411026,,658,806,
8/26/2016,WISE,WISE,WISE Contractual,3062896,,5308,5335,
8/26/2016,College Savings,College Savings,CS Alaska,51261,,84,59,
8/26/2016,College Savings,College Savings,CS John Hancock,197487,,431,489,
8/26/2016,College Savings,College Savings,CS Maryland,233618,,381,429,
8/26/2016,College Savings,College Savings,CS National,80654,,156,178,
8/26/2016,II Services and Operations,RIS,RIS,1318598,,2407,2188,
8/26/2016,II Services and Operations,RCS PHONES,RCS PHONES,301760,,563,480,
8/26/2016,II Services and Operations,SCS,BRO,211463,,318,421,
8/26/2016,II Services and Operations,SCS,PSG,437418,,669,834,
8/27/2016,WISE,WISE,WISE Contractual,0,,0,0,
8/27/2016,College Savings,College Savings,CS Alaska,0,,0,0,
8/27/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
8/27/2016,College Savings,College Savings,CS Maryland,0,,0,0,
8/27/2016,College Savings,College Savings,CS National,0,,0,0,
8/27/2016,II Services and Operations,RIS,RIS,278562,,570,542,
8/27/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
8/27/2016,II Services and Operations,SCS,BRO,0,,0,0,
8/27/2016,II Services and Operations,SCS,PSG,0,,0,0,
8/28/2016,WISE,WISE,WISE Contractual,0,,0,0,
8/28/2016,College Savings,College Savings,CS Alaska,0,,0,0,
8/28/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
8/28/2016,College Savings,College Savings,CS Maryland,0,,0,0,
8/28/2016,College Savings,College Savings,CS National,0,,0,0,
8/28/2016,II Services and Operations,RIS,RIS,0,,0,0,
8/28/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
8/28/2016,II Services and Operations,SCS,BRO,0,,0,0,
8/28/2016,II Services and Operations,SCS,PSG,0,,0,0,
8/29/2016,WISE,WISE,WISE Contractual,4114892,,6971,7418,
8/29/2016,College Savings,College Savings,CS Alaska,58451,,96,74,
8/29/2016,College Savings,College Savings,CS John Hancock,272766,,584,605,
8/29/2016,College Savings,College Savings,CS Maryland,301375,,532,520,
8/29/2016,College Savings,College Savings,CS National,111066,,212,218,
8/29/2016,II Services and Operations,RIS,RIS,1870467,,3490,3375,
8/29/2016,II Services and Operations,RCS PHONES,RCS PHONES,410471,,726,622,
8/29/2016,II Services and Operations,SCS,BRO,248920,,393,511,
8/29/2016,II Services and Operations,SCS,PSG,653236,,995,1202,
8/30/2016,WISE,WISE,WISE Contractual,3416897,,5809,6081,
8/30/2016,College Savings,College Savings,CS Alaska,40726,,82,62,
8/30/2016,College Savings,College Savings,CS John Hancock,235575,,526,501,
8/30/2016,College Savings,College Savings,CS Maryland,239093,,414,430,
8/30/2016,College Savings,College Savings,CS National,82903,,181,180,
8/30/2016,II Services and Operations,RIS,RIS,1628303,,2834,2773,
8/30/2016,II Services and Operations,RCS PHONES,RCS PHONES,329088,,599,529,
8/30/2016,II Services and Operations,SCS,BRO,243731,,390,423,
8/30/2016,II Services and Operations,SCS,PSG,441190,,687,927,
8/31/2016,WISE,WISE,WISE Contractual,2996234,,5118,5538,
8/31/2016,College Savings,College Savings,CS Alaska,33224,,59,55,
8/31/2016,College Savings,College Savings,CS John Hancock,206034,,492,449,
8/31/2016,College Savings,College Savings,CS Maryland,185475,,319,385,
8/31/2016,College Savings,College Savings,CS National,70051,,140,161,
8/31/2016,II Services and Operations,RIS,RIS,1443982,,2622,2502,
8/31/2016,II Services and Operations,RCS PHONES,RCS PHONES,365755,,582,500,
8/31/2016,II Services and Operations,SCS,BRO,230816,,381,401,
8/31/2016,II Services and Operations,SCS,PSG,467025,,703,822,
9/1/2016,WISE,WISE,WISE Contractual,3001810,,5001,5307,
9/1/2016,College Savings,College Savings,CS Alaska,26150,,55,48,
9/1/2016,College Savings,College Savings,CS John Hancock,188014,,430,394,
9/1/2016,College Savings,College Savings,CS Maryland,161385,,317,338,
9/1/2016,College Savings,College Savings,CS National,69099,,131,142,
